epoch,train_acc,train_loss,test_acc,test_loss,,,,,,,,
0,0.761780103,0.602603919,0.84375,0.431203912,,,,,,,,
,,,,,,,,,,,,
1,0.934554972,0.287319819,0.864583333,0.338162869,,,,,,,,
,,,,,,,,,,,,
2,0.98167539,0.178083259,0.864583333,0.290076484,,,,,,,,
,,,,,,,,,,,,
3,0.986910995,0.113349347,0.90625,0.241126135,,,,,,,,
,,,,,,CNN-RNN,,,,,,
4,0.989528794,0.0747871,0.916666667,0.2151581,,,,,,,,
,,,,,,,,,,,,
5,0.989528796,0.049621523,0.916666667,0.182991621,,,,,,,,
,,,,,,,,,,,,
6,0.989528794,0.035359813,0.90625,0.169393132,,,,,,,,
,,,,,,,,,,,,
7,0.989528796,0.027553819,0.916666667,0.157834883,,,,,,,,
,,,,,,,,,,,,
8,0.994764398,0.021501281,0.947916667,0.145176366,,,,,,,,
,,,,,,,,,,,,
9,1,0.013883059,0.947916667,0.132517921,,,,,,,,
,,,,,,,,,,,,
0,0.717277485,0.49774813,0.916666667,0.349139084,,,,,,,,
,,,,,,,,,,,,
1,0.952879581,0.21890602,0.916666667,0.219512624,,,,,,,,
,,,,,,,,,,,,
2,0.97382199,0.078619861,0.916666667,0.161012076,,,,,,,,
,,,,,,,,,,,,
3,0.986910995,0.030773582,0.916666667,0.19861638,,,,,,,,
,,,,,,,,,,,,
4,0.986910995,0.023240677,0.875,0.363380015,,,,,,,,
,,,,,,CNN-LSTM FORGET TRUE,,,,,,
5,0.976439791,0.050216352,0.90625,0.289611513,,,,,,,,
,,,,,,,,,,,,
6,0.986910995,0.019944614,0.90625,0.264405946,,,,,,,,
,,,,,,,,,,,,
7,0.989528796,0.015265164,0.875,0.376378939,,,,,,,,
,,,,,,,,,,,,
8,0.989528796,0.012275894,0.90625,0.365187253,,,,,,,,
,,,,,,,,,,,,
9,0.989528796,0.010932786,0.90625,0.376130447,,,,,,,,
,,,,,,,,,,,,
0,0.541884819,0.604545553,0.78125,0.496718605,,,,,,,,
,,,,,,,,,,,,
1,0.939790574,0.356916601,0.947916667,0.240218699,,,,,,,,
,,,,,,,,,,,,
2,0.968586388,0.163641705,0.916666667,0.187168618,,,,,,,,
,,,,,,,,,,,,
3,0.97382199,0.089026242,0.916666667,0.182535509,,,,,,,,
,,,,,,,,,,,,
4,0.971204187,0.077188883,0.895833333,0.263680687,,,,,,,,
,,,,,,CNN-LSTM FORGET FALSE,,,,,,
5,0.981675393,0.052229334,0.9375,0.164430598,,,,,,,,
,,,,,,,,,,,,
6,0.989528796,0.029085707,0.895833333,0.243627881,,,,,,,,
,,,,,,,,,,,,
7,0.989528796,0.022490779,0.90625,0.171652029,,,,,,,,
,,,,,,,,,,,,
8,0.989528796,0.018277226,0.90625,0.194251411,,,,,,,,
,,,,,,,,,,,,
9,0.989528796,0.016243906,0.895833333,0.260842835,,,,,,,,
,,,,,,,,,,,,
0,0.722513089,0.533110266,0.916666667,0.378115982,,,,,,,,
,,,,,,,,,,,,
1,0.942408377,0.258009915,0.916666667,0.250523036,,,,,,,,
,,,,,,,,,,,,
2,0.968586387,0.143851648,0.916666667,0.183159192,,,,,,,,
,,,,,,,,,,,,
3,0.98167539,0.083015737,0.9375,0.163239188,,,,,,,,
,,,,,,,,,,,,
4,0.984293194,0.050115915,0.927083333,0.196540698,,,,,,,,
,,,,,,CNN-GRU,,,,,,
5,0.986910995,0.033156385,0.916666667,0.153685672,,,,,,,,
,,,,,,,,,,,,
6,0.989528796,0.019384532,0.90625,0.236231801,,,,,,,,
,,,,,,,,,,,,
7,0.986910995,0.028617504,0.9375,0.129270458,,,,,,,,
,,,,,,,,,,,,
8,0.989528796,0.02393475,0.9375,0.136022002,,,,,,,,
,,,,,,,,,,,,
9,0.989528796,0.018587204,0.947916667,0.126601803,,,,,,,,
,,,,,,,,,,,,
0,0.513089007,2.171749083,0.59375,0.741874754,,,,,,,,
,,,,,,,,,,,,
1,0.641361258,0.701150649,0.614583333,0.59182019,,,,,,,,
,,,,,,,,,,,,
2,0.82984293,0.36973409,0.864583333,0.349756777,,,,,,,,
,,,,,,,,,,,,
3,0.937172775,0.226162118,0.916666667,0.264281715,,,,,,,,
,,,,,,,,,,,,
4,0.958115181,0.169509563,0.90625,0.246284311,,,,,,,,
,,,,,,CNN,,,,,,
5,0.997382199,0.110745502,0.916666667,0.216419056,,,,,,,,
,,,,,,,,,,,,
6,0.994764398,0.090039264,0.916666667,0.203928461,,,,,,,,
,,,,,,,,,,,,
7,1,0.070464717,0.9375,0.196826721,,,,,,,,
,,,,,,,,,,,,
8,1,0.062904692,0.9375,0.190161819,,,,,,,,
,,,,,,,,,,,,
9,0.997382199,0.053700945,0.895833333,0.185509617,,,,,,,,
,,,,,,,,,,,,
0,0.586387435,0.728041391,0.541666667,0.703110774,,,,,,,,
,,,,,,,,,,,,
1,0.612565445,0.622329409,0.489583333,0.716018558,,,,,,,,
,,,,,,,,,,,,
2,0.620418849,0.599512455,0.541666667,0.682987769,,,,,,,,
,,,,,,,,,,,,
3,0.638743455,0.589369805,0.541666667,0.724706391,,,,,,,,
,,,,,,,,,,,,
4,0.717277488,0.564856945,0.65625,0.675209701,,,,,,,,
,,,,,,RNN ,,,,,,
5,0.743455499,0.528572562,0.510416667,0.720941186,,,,,,,,
,,,,,,,,,,,,
6,0.7565445,0.520869121,0.65625,0.688296398,,,,,,,,
,,,,,,,,,,,,
7,0.727748693,0.527337773,0.552083333,0.821847936,,,,,,,,
,,,,,,,,,,,,
8,0.649214661,0.655895429,0.520833333,0.76606971,,,,,,,,
,,,,,,,,,,,,
9,0.675392672,0.543967375,0.479166667,0.757095993,,,,,,,,
,,,,,,,,,,,,
0,0.680628271,0.614034701,0.75,0.519802352,,,,,,,,
,,,,,,,,,,,,
1,0.861256545,0.307033757,0.791666667,0.438756059,,,,,,,,
,,,,,,,,,,,,
2,0.934554974,0.172286926,0.84375,0.41497764,,,,,,,,
,,,,,,,,,,,,
3,0.973821987,0.122570407,0.84375,0.435326705,,,,,,,,
,,,,,,,,,,,,
4,0.981675393,0.108735909,0.833333333,0.381337742,,,,,,,,
,,,,,,RNN BACKWARD,,,,,,
5,0.984293192,0.073808731,0.833333333,0.371574372,,,,,,,,
,,,,,,,,,,,,
6,0.984293192,0.059524796,0.854166667,0.36010918,,,,,,,,
,,,,,,,,,,,,
7,0.989528794,0.049931294,0.84375,0.346466973,,,,,,,,
,,,,,,,,,,,,
8,0.989528796,0.033787866,0.864583333,0.311662237,,,,,,,,
,,,,,,,,,,,,
9,0.994764398,0.033465203,0.916666667,0.287592679,,,,,,,,
,,,,,,,,,,,,
0,0.670157069,0.675979774,0.666666667,0.666606784,,,,,,,,
,,,,,,,,,,,,
1,0.727748692,0.614924639,0.677083333,0.624242882,,,,,,,,
,,,,,,,,,,,,
