,TRAIN_ACC,TRAIN_LOSS,TEST_ACC,TEST_LOSS,,,,,,,,,,,,
0,0.816753927,0.367566601,0.885416667,0.29617323,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,0.916230367,0.207617902,0.885416667,0.237910757,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2,0.95026178,0.139536979,0.895833333,0.231475048,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3,0.960732985,0.098759521,0.864583333,0.252770161,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
4,0.979057592,0.074053255,0.90625,0.19254299,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5,0.989528794,0.053581681,0.90625,0.188672031,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
6,0.984293192,0.039632978,0.9375,0.190340338,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
7,1,0.024179518,0.9375,0.191807732,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
8,1,0.014245176,0.947916667,0.150628244,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
9,1,0.009614776,0.9375,0.192053805,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0,0.819371726,0.412405001,0.90625,0.312434018,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,0.950261778,0.179015488,0.895833333,0.264445911,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2,0.955497383,0.121354554,0.90625,0.231461833,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3,0.976439788,0.0821655,0.90625,0.208587925,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
4,0.981675393,0.057356075,0.895833333,0.238504358,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5,0.989528796,0.039735301,0.90625,0.18644206,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
6,0.984293194,0.038842373,0.916666667,0.182075197,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
7,0.986910995,0.029085758,0.895833333,0.209727702,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
8,0.989528796,0.025425811,0.927083333,0.149890805,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
9,0.989528796,0.021074703,0.916666667,0.159013533,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0,0.662303663,0.567094349,0.84375,0.472226024,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,0.926701569,0.324571883,0.916666667,0.252573838,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2,0.965968587,0.144188152,0.895833333,0.248512695,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3,0.979057589,0.064415856,0.875,0.215434631,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
4,0.981675393,0.045306219,0.916666667,0.16052828,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5,0.986910995,0.031084227,0.90625,0.234279849,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
6,0.989528796,0.019883473,0.90625,0.176428946,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
7,0.986910993,0.021925721,0.90625,0.23232013,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
8,0.989528796,0.015048034,0.916666667,0.269024263,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
9,0.989528796,0.012910312,0.90625,0.362550641,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0,0.646596857,0.585422575,0.8125,0.485509078,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,0.95026178,0.314538503,0.927083333,0.216266364,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2,0.952879581,0.14378332,0.916666667,0.186680108,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3,0.960732982,0.107591459,0.875,0.182630934,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
4,0.984293194,0.052371062,0.90625,0.168825788,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5,0.986910995,0.029943568,0.927083333,0.177098295,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
6,0.984293192,0.027365449,0.885416667,0.219577521,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
7,0.986910993,0.027123473,0.927083333,0.172333524,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
8,0.986910995,0.020512773,0.927083333,0.178892417,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
9,0.989528796,0.015950152,0.916666667,0.182735739,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0,0.680628273,0.536943716,0.885416667,0.42974628,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,0.950261778,0.283681565,0.916666667,0.210269704,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2,0.971204186,0.126844028,0.927083333,0.207598006,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3,0.981675393,0.070155848,0.9375,0.137098347,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
4,0.986910993,0.039448716,0.927083333,0.164890433,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5,0.989528796,0.02339574,0.916666667,0.202322324,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
6,0.989528794,0.01600008,0.90625,0.30412213,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
7,0.986910995,0.021351187,0.927083333,0.176930681,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
8,0.989528794,0.014803483,0.916666667,0.171035285,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
9,0.989528796,0.012429664,0.9375,0.126805194,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0,0.70418848,0.557661942,0.635416667,0.508810659,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,0.916230367,0.323752956,0.916666667,0.252235368,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2,0.963350783,0.145470839,0.885416667,0.211987287,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3,0.973821987,0.072233648,0.875,0.235918817,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
4,0.976439791,0.047318796,0.90625,0.208368237,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5,0.986910995,0.03323036,0.916666667,0.204003848,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
6,0.986910993,0.02433729,0.875,0.251979304,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
7,0.989528796,0.018518875,0.875,0.260114173,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
8,0.986910995,0.019341595,0.864583333,0.309481308,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
